Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
ATS250,CTS-Frequency Controls,CTX419-ND,,,Bulk,Active,1,0.37,$0.37 ,238,12 Weeks,CRYSTAL 25.0000MHZ SERIES T/H,ROHS3 Compliant,Lead free,REACH Unaffected
INA821IDR,Texas Instruments,296-INA821IDRCT-ND,,,Cut Tape (CT),Active,2,5.15,$10.30 ,1973,6 Weeks,OP AMP,ROHS3 Compliant,Lead free,Not Available
SR215C104KAR,AVX Corporation,478-3188-ND,,,Bulk,Active,10,0.135,$1.35 ,10377,11 Weeks,CAP CER 0.1UF 50V X7R RADIAL,ROHS3 Compliant,Lead free,REACH Unaffected
K101K15C0GF53L2,Vishay BC Components,BC5130-ND,,,Bulk,Active,6,0.22,$1.32 ,6718,10 Weeks,CAP CER 100PF 50V C0G/NP0 RADIAL,ROHS3 Compliant,Lead free,Not Available
SI5351A-B-GT,Silicon Labs,336-2399-5-ND,,,Tube,Active,1,0.92,$0.92 ,746,6 Weeks,IC CLK GENERATOR 200MHZ 10MSOP,Not Available,Lead free,Not Available
SN74AC74N,Texas Instruments,296-4342-5-ND,,,Tube,Active,1,0.55,$0.55 ,1339,12 Weeks,IC FF D-TYPE DUAL 1BIT 14DIP,ROHS3 Compliant,Lead free,REACH Unaffected
860020472003.00,Würth Elektronik,732-8820-1-ND,,,Cut Tape (CT),Active,3,0.1,$0.30 ,3030,28 Weeks,CAP ALUM 10UF 20% 25V RADIAL,ROHS3 Compliant,Lead free,REACH Unaffected
SN74CBT3253CDR,Texas Instruments,296-19206-1-ND,,,Cut Tape (CT),Active,1,0.58,$0.58 ,5971,6 Weeks,IC MUX/DEMUX DUAL 4:1 16SOIC,ROHS3 Compliant,Lead free,REACH Unaffected
OP213FPZ,Analog Devices Inc.,OP213FPZ-ND,,,Tube,Active,1,7.47,$7.47 ,334,8 Weeks,IC OPAMP GP 2 CIRCUIT 8DIP,ROHS3 Compliant,Lead free,REACH Unaffected
PN2222ATF,ON Semiconductor,PN2222ATFCT-ND,,,Cut Tape (CT),Active,1,0.24,$0.24 ,7644,19 Weeks,TRANS NPN 40V 1A TO-92,ROHS3 Compliant,Lead free,REACH Unaffected
D102K20Y5PH63J5R,Vishay BC Components,BC5111-ND,,,Bulk,Active,1,0.18,$0.18 ,16287,10 Weeks,CAP CER 1000PF 100V Y5P RADIAL,ROHS3 Compliant,Lead free,Not Available
K221K10X7RF5UH5,Vishay BC Components,BC2672CT-ND,,,Cut Tape (CT),Active,4,0.19,$0.76 ,13768,10 Weeks,CAP CER 220PF 50V X7R RADIAL,ROHS3 Compliant,Lead free,Not Available
